,Product,Query
2348,Pantodac 40 Tablet,Can I take antacids along with Pantodac 40 Tablet?
2352,Pantodac 40 Tablet,I have stomach pain. I mostly used pantodac 20. But today I use pantodac 40. Is any problem for me What is the difference between pantodac 20 and 40 Hello r u there
2368,Pantakind Tablet,Can I take alcohol with Pantakind Tablet?
2380,Topp 40 Tablet,What is Topp 40 Tablet used for?
2382,Topp 40 Tablet,Is a single dose of Topp 40 Tablet sufficient?
2389,Topp 40 Tablet,Can I take alcohol with Topp 40 Tablet?
2390,Topp 40 Tablet,Can I take antacids along with Topp 40 Tablet?
2410,PAN 20 Tablet,Can I take alcohol with PAN 20 Tablet?
2482,Pantop Injection,Can I take alcohol with Pantop Injection?
2500,PAN IV Injection,Can I take alcohol with PAN IV Injection?
2537,Pantocid 20 Tablet,Can I take alcohol with Pantocid 20 Tablet?
2615,Pantodac DSR Capsule,I have stomach pain. I mostly used pantodac 20. But today I use pantodac 40. Is any problem for me What is the difference between pantodac 20 and 40 Hello r u there
2620,Cintodac  Capsule,Can I  drink alcohol with Cintodac  Capsule?
2639,PAN 80mg Tablet,Can I take alcohol with PAN 80mg Tablet?
2674,Nupenta Tablet,Can I take alcohol with Nupenta Tablet?
2709,Pantop 20 Tablet,Can I take alcohol with Pantop 20 Tablet?
2786,Pansec Tablet,Can I take alcohol with Pansec Tablet?
